"","Country_Region","Confirmed","Deaths","Recovered","Date","Region"
"149","Cote d'Ivoire",1,0,0,"03-14-2020","West"
"150","Eswatini",1,0,0,"03-14-2020","South"
"151","Ethiopia",1,0,0,"03-14-2020","East"
"152","Gabon",1,0,0,"03-14-2020","Central"
"153","Guinea",1,0,0,"03-14-2020","West"
"154","Kenya",1,0,0,"03-14-2020","East"
"155","Mauritania",1,0,0,"03-14-2020","North"
"156","Rwanda",1,0,0,"03-14-2020","East"
"157","Sudan",1,1,0,"03-14-2020","East"
"158","Togo",1,0,0,"03-14-2020","West"
"159","Egypt",110,2,21,"03-15-2020","North"
"160","South Africa",51,0,0,"03-15-2020","South"
"161","Algeria",48,4,12,"03-15-2020","North"
"162","Morocco",28,1,1,"03-15-2020","North"
"163","Tunisia",18,0,0,"03-15-2020","North"
"164","Senegal",24,0,1,"03-15-2020","West"
"165","Ghana",6,0,0,"03-15-2020","West"
"166","Burkina Faso",3,0,0,"03-15-2020","West"
"167","Cameroon",2,0,0,"03-15-2020","Central"
"168","Congo (Kinshasa)",2,0,0,"03-15-2020","Central"
"169","Namibia",2,0,0,"03-15-2020","South"
"170","Nigeria",2,0,0,"03-15-2020","West"
"171","Seychelles",2,0,0,"03-15-2020","East"
"172","Central African Republic",1,0,0,"03-15-2020","Central"
"173","Congo (Brazzaville)",1,0,0,"03-15-2020","Central"
"174","Cote d'Ivoire",1,0,0,"03-15-2020","West"
"175","Equatorial Guinea",1,0,0,"03-15-2020","Central"
"176","Eswatini",1,0,0,"03-15-2020","South"
"177","Ethiopia",1,0,0,"03-15-2020","East"
"178","Gabon",1,0,0,"03-15-2020","Central"
"179","Guinea",1,0,0,"03-15-2020","West"
"180","Kenya",3,0,0,"03-15-2020","East"
"181","Mauritania",1,0,0,"03-15-2020","North"
"182","Rwanda",1,0,0,"03-15-2020","East"
"183","Sudan",1,1,0,"03-15-2020","East"
"184","Togo",1,0,0,"03-15-2020","West"
"185","Egypt",150,2,27,"03-16-2020","North"
"186","South Africa",62,0,0,"03-16-2020","South"
"187","Algeria",54,4,12,"03-16-2020","North"
"188","Morocco",29,1,1,"03-16-2020","North"
"189","Senegal",24,0,2,"03-16-2020","West"
"190","Tunisia",20,0,0,"03-16-2020","North"
"191","Burkina Faso",15,0,0,"03-16-2020","West"
"192","Ghana",6,0,0,"03-16-2020","West"
"193","Ethiopia",5,0,0,"03-16-2020","East"
"194","Rwanda",5,0,0,"03-16-2020","East"
"195","Cameroon",4,0,0,"03-16-2020","Central"
"196","Kenya",3,0,0,"03-16-2020","East"
"197","Seychelles",3,0,0,"03-16-2020","East"
"198","Congo (Kinshasa)",2,0,0,"03-16-2020","Central"
"199","Namibia",2,0,0,"03-16-2020","South"
"200","Nigeria",2,0,0,"03-16-2020","West"
"201","Benin",1,0,0,"03-16-2020","West"
"202","Central African Republic",1,0,0,"03-16-2020","Central"
"203","Congo (Brazzaville)",1,0,0,"03-16-2020","Central"
"204","Cote d'Ivoire",1,0,0,"03-16-2020","West"
"205","Equatorial Guinea",1,0,0,"03-16-2020","Central"
"206","Eswatini",1,0,0,"03-16-2020","South"
"207","Gabon",1,0,0,"03-16-2020","Central"
"208","Guinea",1,0,0,"03-16-2020","West"
"209","Liberia",1,0,0,"03-16-2020","West"
"210","Mauritania",1,0,0,"03-16-2020","North"
"211","Somalia",1,0,0,"03-16-2020","East"
"212","Sudan",1,1,0,"03-16-2020","East"
"213","Tanzania",1,0,0,"03-16-2020","East"
