"","Country_Region","Confirmed","Deaths","Recovered","Date","Region","New Cases","New Deaths","New Recoveries","DaysSince","Exposure","lnsdi","lnurban","lnp70p","lnhhsn","lnihr2018","lnsqualty","lnhiv","lnasthma","lntraffic","nrows","PopTotal","ConfirmedScaled"
"81","Lesotho",12787,357,6621,2021-07-24,"South",108,0,0,480,438,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,5.96895229879585
"82","Lesotho",12880,363,6621,2021-07-25,"South",93,6,0,481,439,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,6.01236455841796
"83","Botswana",102124,1485,87517,2021-07-26,"South",4467,110,3328,482,484,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105,9.68916130065918,11.2416400909424,12.4427919387817,1,2351.625,43.4269919736353
"84","Cameroon",82064,1334,35261,2021-07-26,"Central",61,0,0,482,508,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,3.0914043709408
"85","Central African Republic",7148,98,6859,2021-07-26,"Central",1,0,0,482,499,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.47998949845168
"86","Congo (Brazzaville)",13156,177,11759,2021-07-26,"Central",39,1,0,482,499,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
"87","Equatorial Guinea",8880,123,8637,2021-07-27,"Central",17,0,0,483,500,-0.415515393018723,-0.342490345239639,0,1.67249576854706,3.09104251861572,3.95124363899231,8.29574871063232,11.1625061035156,13.0528736114502,1001,1402.985,6.32936203879585
"88","Benin",8394,108,8136,2021-07-28,"West",70,1,11,484,500,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001,12123.198,0.692391562028435
"89","Lesotho",12887,363,6649,2021-07-28,"South",7,0,28,484,442,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,6.01563214785189
"90","Botswana",106690,1569,95323,2021-07-29,"South",4566,84,7806,485,487,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105,9.68916130065918,11.2416400909424,12.4427919387817,1,2351.625,45.3686280763302
"91","Burundi",6865,9,773,2021-07-29,"Central",150,0,0,485,486,-1.3862943649292,-2.04022097587585,0,1.57484650611877,3.13549423217773,3.33220458030701,7.08518409729004,13.0250959396362,NA,812,11890.781,0.577338023465406
"92","Central African Republic",7151,98,6859,2021-07-29,"Central",3,0,0,485,502,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.48061064681421
"93","Lesotho",12908,374,6649,2021-07-29,"South",21,11,0,485,443,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,6.02543491615365
"94","Tanzania",1017,21,183,2021-07-29,"East",508,0,0,485,501,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.0170254189169614
"95","Burundi",7080,9,773,2021-07-30,"Central",215,0,0,486,487,-1.3862943649292,-2.04022097587585,0,1.57484650611877,3.13549423217773,3.33220458030701,7.08518409729004,13.0250959396362,NA,812,11890.781,0.595419257994912
"96","Congo (Brazzaville)",13186,178,12421,2021-07-30,"Central",30,1,662,486,503,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
"97","Lesotho",13603,377,6664,2021-08-01,"South",695,3,15,488,446,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,6.34985986709313
"98","Botswana",115220,1653,96964,2021-08-02,"South",8530,84,1641,489,491,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105,9.68916130065918,11.2416400909424,12.4427919387817,1,2351.625,48.995907085526
"99","Burundi",7505,38,773,2021-08-02,"Central",425,29,0,489,490,-1.3862943649292,-2.04022097587585,0,1.57484650611877,3.13549423217773,3.33220458030701,7.08518409729004,13.0250959396362,NA,812,11890.781,0.631161233227658
"100","Congo (Brazzaville)",13216,178,12421,2021-08-02,"Central",30,0,0,489,506,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
"101","Equatorial Guinea",8911,123,8696,2021-08-02,"Central",31,0,59,489,506,-0.415515393018723,-0.342490345239639,0,1.67249576854706,3.09104251861572,3.95124363899231,8.29574871063232,11.1625061035156,13.0528736114502,1001,1402.985,6.35145778465201
"102","Burundi",7518,38,773,2021-08-03,"Central",13,0,0,490,491,-1.3862943649292,-2.04022097587585,0,1.57484650611877,3.13549423217773,3.33220458030701,7.08518409729004,13.0250959396362,NA,812,11890.781,0.632254517175953
"103","Liberia",5459,220,2715,2021-08-03,"West",55,72,0,490,506,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812,5057.677,1.07934927438031
"104","Benin",8608,110,8136,2021-08-04,"West",214,2,0,491,507,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001,12123.198,0.710043669995326
"105","Equatorial Guinea",8928,123,8709,2021-08-04,"Central",17,0,13,491,508,-0.415515393018723,-0.342490345239639,0,1.67249576854706,3.09104251861572,3.95124363899231,8.29574871063232,11.1625061035156,13.0528736114502,1001,1402.985,6.36357480657313
"106","Botswana",122574,1704,NA,2021-08-05,"South",7354,51,NA,492,494,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105,9.68916130065918,11.2416400909424,12.4427919387817,1,2351.625,52.1231063626216
"107","Burundi",7714,38,NA,2021-08-05,"Central",196,0,NA,492,493,-1.3862943649292,-2.04022097587585,0,1.57484650611877,3.13549423217773,3.33220458030701,7.08518409729004,13.0250959396362,NA,812,11890.781,0.648737875165643
"108","Liberia",5461,220,NA,2021-08-05,"West",2,0,NA,492,508,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812,5057.677,1.07974471283951
"109","Burundi",8088,38,NA,2021-08-06,"Central",374,0,NA,493,494,-1.3862943649292,-2.04022097587585,0,1.57484650611877,3.13549423217773,3.33220458030701,7.08518409729004,13.0250959396362,NA,812,11890.781,0.680190813370459
"110","Equatorial Guinea",8940,123,NA,2021-08-06,"Central",12,0,NA,493,510,-0.415515393018723,-0.342490345239639,0,1.67249576854706,3.09104251861572,3.95124363899231,8.29574871063232,11.1625061035156,13.0528736114502,1001,1402.985,6.37212799851745
