"","Country_Region","Exposure","Date","Region","LastExposure","LastDate","lnsdi","lnurban","lnp70p","lnhhsn","lnihr2018","lnsqualty"
"27","Angola",296,2021-01-09,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"28","Angola",297,2021-01-10,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"29","Angola",298,2021-01-11,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"30","Angola",299,2021-01-12,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"31","Angola",300,2021-01-13,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"32","Angola",301,2021-01-14,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"33","Angola",302,2021-01-15,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"34","Angola",303,2021-01-16,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"35","Angola",304,2021-01-17,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"36","Angola",305,2021-01-18,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"37","Angola",306,2021-01-19,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"38","Angola",307,2021-01-20,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"39","Angola",308,2021-01-21,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"40","Angola",309,2021-01-22,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"41","Angola",310,2021-01-23,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"42","Angola",311,2021-01-24,"South",290,2021-01-03,-0.820980548858643,-0.462035477161407,0,1.73871028423309,4.07753753662109,3.58351898193359
"43","Benin",295,2021-01-04,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
